0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
0,,1,11,3,42348,,0,14,2,,0,,14,05db9164,bc0cd370,b954d064,040c8aa9,30903e74,fbad5c96,fd88893f,0b153874,a73ee510,6e7947ce,49aeb6a9,0301901e,8f7e5dc7,07d13a8f,7a53c01b,a9388658,e5ba7672,de5d6e5b,,,e1a91d60,,32c7478e,ccdc9cf6,,
0,,5,47,5,46545,,,5,,,,,5,287e684f,38a947a1,3019ffe0,12146618,384874ce,7e0ccccf,1c2bde14,0b153874,7cc72ec2,5dbaabb1,47791ba3,8de5403e,f7177056,cfef1c29,184385dd,c542afb5,1e88c74f,b6d33a04,,,bcc17b41,ad3062eb,423fab69,56f742f2,,
0,1,31,,0,0,0,1,0,26,1,1,,0,5a9ed9b0,d833535f,b00d1501,d16679b9,43b19349,7e0ccccf,9b98e9fc,5b392875,a73ee510,2a47dab8,7f8ffe57,e0d76380,46f42a63,b28479f6,a733d362,1203a270,d4bb7bd8,281769c2,,,73d06dde,,32c7478e,aee52b6f,,
0,2,2,,3,263,44,2,36,36,1,1,,3,05db9164,38a947a1,1c102e73,0f67067d,4cf72387,fe6b92e5,fe4e75fa,37e4aa92,a73ee510,6aea41c7,8f4f8f83,ef63a44d,8828a59c,07d13a8f,bde4a636,0961ef6c,07c540c4,326d18a0,,,1a1a9245,,93bad2c0,1001bad9,,
1,,1,1,,35056,,,0,,,,,,17f69355,38a947a1,88207494,e19ea656,25c83c98,fbad5c96,36a49eb9,5b392875,a73ee510,474773a7,ea86da03,a8402854,c6ce90af,64c94865,90b18b4c,2a5e4c8d,e5ba7672,15fafff5,,,b7fff78a,,32c7478e,ab533a30,,
1,1,-1,1,0,36,0,1,0,0,1,1,,0,05db9164,80e26c9b,946ca4f9,99944ac5,25c83c98,7e0ccccf,372a0c4c,1f89b562,a73ee510,a08eee5a,5ab334eb,6ba14f8f,94881fc3,07d13a8f,f3635baf,5a0a1a28,d4bb7bd8,f54016b9,21ddcdc9,a458ea53,dcba762f,c9d4222a,3a171ecb,2bb26daa,e8b83407,87d8715a
1,1,-1,1,0,10,0,1,0,0,1,1,,0,8cf07265,09e68b86,437ef3b9,77ec4111,43b19349,,b87f4a4a,062b5529,a73ee510,e70742b0,319687c9,92369267,62036f49,b28479f6,52baadf5,50b07c0c,d4bb7bd8,5aed7436,712d530c,b1252a9d,c0200b06,,32c7478e,2fdc9048,e8b83407,3e01e343
0,,155,54,8,14516,243,2,17,96,,2,0,14,09ca0b81,80e26c9b,2716c289,169ffff5,25c83c98,fbad5c96,92ce5a7d,5b392875,a73ee510,794fedab,e0c3cae0,b853b799,e8df3343,1adce6ef,8f92e3a1,5151f2ca,3486227d,1f9656b8,21ddcdc9,b1252a9d,38483e30,,3a171ecb,1793a828,f0f449dd,70b6702c
1,2,1,24,3,1424,7,3,3,3,0,1,,3,05db9164,4f25e98b,71a02f5a,6c48d226,4cf72387,fe6b92e5,5e64ce5f,0b153874,a73ee510,27eb656b,8b94178b,2d756fb1,025225f2,b28479f6,8ab5b746,ee5eb3d9,07c540c4,7ef5affa,3014a4b1,a458ea53,016bf058,,32c7478e,6a62f247,001f3601,d43753e1
0,,2,74,32,13294,,0,33,37,,0,,32,05db9164,f9875f50,e3421bbd,dfd90cee,4cf72387,7e0ccccf,aa3a12d0,062b5529,a73ee510,3b08e48b,3f335b6c,649c5b9f,3a96d406,07d13a8f,4ad96776,68bc806f,776ce399,43a9e4b1,03a07a24,a458ea53,4a96a945,,423fab69,3fdb382b,e8b83407,49d68486
0,1,45,82,26,10,23,1,17,26,1,1,,23,05db9164,38d50e09,,,4cf72387,7e0ccccf,9140e6ca,0b153874,a73ee510,f902af47,aa5e0431,,54be6cea,b28479f6,42b3012c,,d4bb7bd8,582152eb,21ddcdc9,5840adea,,,32c7478e,,001f3601,56be3401
1,0,181,12,4,303,117,167,24,768,0,33,0,4,241546e0,287130e0,6abc79b0,a99706ce,25c83c98,fbad5c96,6284da2d,5b392875,a73ee510,d9dc2828,5874c9c9,c6e66003,740c210d,cfef1c29,655fad18,26f6b4ed,e5ba7672,891589e7,b748b3c8,5840adea,9a8a4df4,,bcdee96c,3fdb382b,ea9a246c,49d68486
0,0,163,,6,6429,401,15,25,202,0,2,,6,05db9164,d833535f,b00d1501,d16679b9,4cf72387,7e0ccccf,f00bddf8,0b153874,a73ee510,ab9e9acf,55795b33,e0d76380,39795005,b28479f6,a66dcf27,1203a270,e5ba7672,7b49e3d2,,,73d06dde,,32c7478e,aee52b6f,,
0,,2,65,75,96,,0,48,79,,0,,79,68fd1e64,38a947a1,,,b2241560,6f6d9be8,a56b946e,1f89b562,a73ee510,f28fb17f,3898d718,,86462f28,b28479f6,7b9bdd9c,,d4bb7bd8,ed43cc6d,,,,,32c7478e,,,
0,44,1,2,2,23,2,44,2,2,1,1,1,2,75ac2fe6,7cd19acc,77f2f2e5,d16679b9,25c83c98,7e0ccccf,57b8da1d,0b153874,a73ee510,7db8154d,ab066900,9f32b866,5d4198ed,07d13a8f,bac304f0,31ca40b6,3486227d,4172ab05,,,dfcfc3fa,c9d4222a,32c7478e,aee52b6f,,
0,,317,2,2,7312,39,1,16,47,,1,,2,05db9164,0468d672,5d3a12c5,ee36060f,4cf72387,7e0ccccf,ce4f7f55,0b153874,a73ee510,5a99f4a3,38f692a7,03afd96d,6e5da64f,b28479f6,60a23d23,fab4dda8,d4bb7bd8,124c6b00,21ddcdc9,5840adea,f6e47def,,32c7478e,6c1cdd05,ea9a246c,984e0db0
1,1,105,1,9,5,4,3,21,73,1,2,,4,68fd1e64,00ac063c,fc1cad4b,40ed41e5,25c83c98,,b77d7b90,0b153874,a73ee510,0a2f0bae,8d689bd2,153ff04a,81621307,b28479f6,bc566d75,1bf03082,07c540c4,15a4e6dd,21ddcdc9,5840adea,84ec2c79,,3a171ecb,a415643d,001f3601,a388434c
1,2,1,1,17,27,7,4,26,62,1,2,,7,5a9ed9b0,80e26c9b,a686d6df,85dd697c,25c83c98,,f2d80b52,0b153874,a73ee510,22074d01,1bb4f435,1e9bc4a1,e8d4ea40,07d13a8f,e8f4b767,2d0bbe92,e5ba7672,005c6740,21ddcdc9,5840adea,10c50096,,32c7478e,1793a828,e8b83407,b9809574
0,1,15,24,15,10,5,43,43,110,1,7,0,5,68fd1e64,1cfdf714,df88f877,d19a4440,4cf72387,7e0ccccf,a2bea6d8,0b153874,a73ee510,92ea8417,72a65bcc,ca4409a4,b8fee572,f862f261,0e1257cc,3df1fda7,e5ba7672,e88ffc9d,315ba0e1,b1252a9d,d67f1959,,55dd3565,3fdb382b,cb079c2d,64f08cc6
0,0,0,7,1,4926,462,2,0,186,0,0,0,5,05db9164,d7988e72,36ac3489,1e950a8f,25c83c98,fe6b92e5,6d0ca8d7,0b153874,a73ee510,62e331b2,6939835e,466a2d51,dc1d72e4,1adce6ef,9538b54b,045fc07d,3486227d,0f2f9850,5ce524d1,a458ea53,f96a6cbe,,32c7478e,05f394fe,445bbe3b,fcfc9be1
0,0,2,26,,7943,559,129,4,143,0,6,0,,05db9164,58e67aaf,7ee6e57d,62ec374c,4cf72387,7e0ccccf,8fb5446a,1f89b562,a73ee510,de89c3d2,59cd5ae7,d8a930d9,8b216f7b,b28479f6,62eca3c0,83807916,e5ba7672,c21c3e4c,bc0399b1,a458ea53,341c18c8,,32c7478e,9f0d87bf,9b3e8820,bde577f6
0,0,60,,,1188,591,20,4,112,0,2,,,06584483,dd8c896e,7fae21ad,13508380,384874ce,fbad5c96,d03756ed,b621aeb8,a73ee510,3b08e48b,3c264af5,a67d203f,6c24bc52,07d13a8f,95275a51,23a1215f,e5ba7672,3182300e,21ddcdc9,b1252a9d,354a8393,,3a171ecb,45ab94c8,010f6491,c84c4aec
0,0,-1,8,5,3196,143,15,18,466,0,3,,5,be589b51,58e67aaf,29cfb416,1502f587,25c83c98,7e0ccccf,804d2f11,5b392875,a73ee510,72593448,1aa6cf31,dacc45f3,3b03d76e,b28479f6,62eca3c0,8954ea47,e5ba7672,c21c3e4c,55dd3565,b1252a9d,0090e250,,32c7478e,96c9deea,9b3e8820,aa70f774
